1484    17035575    ROBBERY    6/20/17 0:00    37.881957, -122.269551
1490    17055919    ASSAULT/BATTERY MISD.    9/16/17 0:00    37.870231, -122.299624
1505    17055380    ASSAULT/BATTERY FEL.    9/14/17 0:00    37.85488, -122.269079
1508    17055017    ASSAULT/BATTERY MISD.    9/12/17 0:00    37.88382, -122.296952
1511    17023034    ASSAULT/BATTERY FEL.    4/15/17 0:00
1514    17046734    ROBBERY    8/10/17 0:00    37.868273, -122.295963
1524    17042194    ASSAULT/BATTERY FEL.    7/20/17 0:00    37.867209, -122.256554
1527    17050535    ASSAULT/BATTERY MISD.    5/26/17 0:00    37.865491, -122.310065
1542    17050841    ROBBERY    8/27/17 0:00
1544    17043130    ASSAULT/BATTERY MISD.    7/24/17 0:00    37.856111, -122.260248
1559    17025249    THEFT FROM PERSON    5/5/17 0:00    37.855824, -122.25502
1562    17033107    ASSAULT/BATTERY MISD.    6/9/17 0:00    37.872106, -122.268405
1575    17043926    ASSAULT/BATTERY MISD.    7/28/17 0:00    37.869363, -122.268028
1586    17042854    ROBBERY    7/23/17 0:00    37.861864, -122.262454
1587    17057054    ASSAULT/BATTERY MISD.    9/21/17 0:00    37.861341, -122.287679
1591    17036308    THEFT FROM PERSON    6/23/17 0:00
1596    17048522    ASSAULT/BATTERY MISD.    8/18/17 0:00    37.87091, -122.265993
1597    17019220    MISSING JUVENILE    4/6/17 0:00    37.87304, -122.289659
1603    17054377    ASSAULT/BATTERY FEL.    9/10/17 0:00    37.867852, -122.258699
1611    17058325    ASSAULT/BATTERY MISD.    9/27/17 0:00    37.880376, -122.268183
1613    17037922    MISSING ADULT    7/1/17 0:00    37.87493, -122.298604
1624    17028102    ASSAULT/BATTERY MISD.    5/18/17 0:00    37.877951, -122.271395
1633    17050372    THEFT FROM PERSON    8/23/17 0:00
1637    17022532    ASSAULT/BATTERY MISD.    4/23/17 0:00    37.863598, -122.253693
1649    17030792    MISSING JUVENILE    5/17/17 0:00    37.877636, -122.264323
1660    17029676    ROBBERY    5/25/17 0:00    37.880262, -122.295809
1666    17050773    ASSAULT/BATTERY FEL.    8/27/17 0:00    37.867852, -122.258699
1668    17044236    ASSAULT/BATTERY FEL.    7/30/17 0:00    37.868714, -122.259189
1670    17032493    ROBBERY    6/6/17 0:00    37.871828, -122.270516
